index,time,L_x,L_y,L_z,C_x,C_y,C_z,F_x,F_y,F_z,confidence,gaze_norm_pos_x,gaze_norm_pos_y,norm_pos_x,norm_pos_y,diameter,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,index,time
34,1.34,-15.5,2.2,-5.2,-19.8,1.7,-4.2,1,0.1,-0.1,0.053082524,0.784962959,0.46980046,0.428648772,0.609519813,219.2138273,274.3352139,187.4304898,212.5088618,219.2138273,-68.22397514,2.408880572,0.329364713,12,-0.534426852,-4.111950871,18.3032759,12,-0.502874711,-0.519057831,6.853816348,0.002629345,0.299407753,-0.954121629,1.204440286,1.874868198,-1.568040558,301.8969757,100.7129372,812.9692237,812.9692237,34,1.34
35,1.41,-15.5,2.5,-5.1,-19.8,1.7,-4.2,1,0.1,-0.1,0.056225557,0.761807038,0.567647521,0.421732828,0.541789539,215.2071095,269.9090096,219.9410211,203.6495408,215.2071095,-75.18287802,2.407652013,0.329364713,12,-0.534426852,-4.111950871,18.3032759,12,-0.561962747,-0.160232108,6.97264659,-0.002294658,0.329309897,-0.944219109,1.203826006,1.906368939,-1.57322654,301.8969757,100.7129372,812.9692237,812.9692237,35,1.41
36,1.47,-15.5,2.4,-4.3,-19.8,1.7,-4.2,1,0.1,-0.1,0.074762299,0.400824697,0.545570696,0.564528946,0.511991985,211.9638422,361.2985251,234.2438472,196.6242404,211.9638422,66.92898344,2.409884386,0.297820896,12,-0.534426852,-4.111950871,18.3032759,12,0.485966629,0.000325797,7.076166846,0.08503279,0.342689722,-0.935592421,1.204942193,1.920574821,-1.480158772,301.8969757,100.7129372,812.9692237,812.9692237,36,1.47
37,1.53,-15.5,2.6,-4.5,-19.8,1.7,-4.2,1,0.1,-0.1,0.07239886,0.477140583,0.624845096,0.541589065,0.482664715,210.487884,346.6170013,248.3209367,193.8290489,210.487884,73.7283629,2.412030295,0.29046884,12,-0.534426852,-4.111950871,18.3032759,12,0.318156223,0.16300937,7.12303364,0.07104859,0.356246687,-0.931686855,1.206015147,1.935044278,-1.494685619,301.8969757,100.7129372,812.9692237,812.9692237,37,1.53
38,1.57,-15.5,2.3,-4.8,-19.7,1.7,-4.2,1,0.1,-0.1,0.783328477,0.591236102,0.503564094,0.504330635,0.552918715,123.3766131,322.7716067,214.5990169,118.2308686,123.3766131,79.32608641,1.382456185,0.291289507,12,-0.534426852,-4.111950871,18.3032759,12,0.034123088,-0.263641952,6.951303851,0.047379162,0.32069241,-0.945997671,0.691228093,1.897256744,-1.520754337,301.8969757,100.7129372,812.9692237,812.9692237,38,1.57
39,1.6,-15.5,2.3,-4.8,-19.7,1.7,-4.2,1,0.1,-0.1,0.77312447,0.59053549,0.502685117,0.504584718,0.553273659,123.9749755,322.9342196,214.4286437,118.8161817,123.9749755,79.22049871,1.38905217,0.292424949,12,-0.534426852,-4.111950871,18.3032759,12,0.035981778,-0.265335139,6.950823241,0.047534053,0.320551311,-0.946037722,0.694526085,1.897107781,-1.520593137,301.8969757,100.7129372,812.9692237,812.9692237,39,1.6
40,1.64,-15.5,2.3,-4.8,-19.6,1.7,-4.2,1,0.1,-0.1,0.759092544,0.587755124,0.501686372,0.505560461,0.553410013,123.1965508,323.5586952,214.3631936,118.0645209,123.1965508,78.88168563,1.380320349,0.292818618,12,-0.534426852,-4.111950871,18.3032759,12,0.04297469,-0.26634167,6.950835753,0.048116795,0.320467433,-0.946036679,0.690160174,1.897019232,-1.519978669,301.8969757,100.7129372,812.9692237,812.9692237,40,1.64
41,1.67,-15.5,2.3,-4.8,-19.5,1.7,-4.2,1,0.1,-0.1,0.83893039,0.585727529,0.499702241,0.506278698,0.554148115,122.7311248,324.0183664,214.0089047,117.643203,122.7311248,78.59410068,1.374869809,0.293312761,12,-0.534426852,-4.111950871,18.3032759,12,0.048119684,-0.270445478,6.949709244,0.048545545,0.320125449,-0.946130555,0.687434904,1.896658229,-1.519531721,301.8969757,100.7129372,812.9692237,812.9692237,41,1.67
42,1.71,-15.5,2.2,-4.8,-19.4,1.7,-4.2,1,0.1,-0.1,0.904948721,0.585320735,0.495132306,0.506451645,0.556415914,122.859754,324.129053,212.9203611,117.8679506,122.859754,78.39425346,1.375507482,0.296052977,12,-0.534426852,-4.111950871,18.3032759,12,0.049345052,-0.282487594,6.945704798,0.048647659,0.31912194,-0.946464259,0.687753741,1.895599166,-1.519442157,301.8969757,100.7129372,812.9692237,812.9692237,42,1.71
43,1.73,-15.5,2.2,-4.8,-19.4,1.7,-4.2,1,0.1,-0.1,0.918053099,0.583089824,0.491620493,0.507232802,0.557894433,122.8989363,324.6289931,212.2106723,117.9612162,122.8989363,78.02949322,1.375453315,0.284291449,12,-0.534426852,-4.111950871,18.3032759,12,0.054954195,-0.290357811,6.943343839,0.049115087,0.318466088,-0.946661005,0.687726658,1.894907211,-1.518960359,301.8969757,100.7129372,812.9692237,812.9692237,43,1.73
